12F	12 Feb
12M	12 March
16fvnzlaenlacallenicoláspaelcoñotevas	16FVnzlaEnlaCalleNicolásPaElCoñoTevas
19F	19 Feb
5M	5 March
abuse	abuse
abuso	abuse
ammunition	ammunition
anti-communist	anti-communist
anticomunista	anti-communist
antigovernamental	anti-government
anti-government	anti-government
arreaza	Arreaza
barricada	barricade
barricadas	barricades
barricade	barricade
barricades	barricades
barrio	barrio
bolivarian	Bolivarian
bolivariana	Bolivarian
bolivariano	Bolivarian
callesinretorno	Street of No Return
capitalism	capitalism
capitalismo	capitalism
capitalist	capitalist
capitalista	capitalist
capitalistas	capitalists
capitalists	capitalists
capriles	Capriles
caracazo	Caracazo
censorship	censorship
censura	censorship
chávez	Chávez
chacín	Chacín
chacin	Chacin
chavez	Chavez
che	Che
cidadão	citizen
cidadãos	citizens
citizen	citizen
citizens	citizens
ciudadano	citizen
ciudadanos	citizens
colectivos	Colectivos
conferenciadepaz	Peace Conference
contenda	strife
corrupção	corruption
corrupción	corruption
corrupt	corrupt
corruption	corruption
corrupto	corrupt
coup	coup
dead	dead
death	death
deaths	deaths
demonstration	demonstration
demonstrations	demonstrations
demostración	demonstration
demostraciones	demonstrations
derechos	rights
desassossego	unrest
desnudosconlaucv	naked with UCV
destabilze	destabilze
detain	detain
detained	detained
detener	detain
detenido	detained
dictador	dictator
dictadura	dictatorship
dictator	dictator
dictatorship	dictatorship
dificuldade	trouble
diplomático	politic
direitos	rights
disturbios	unrest
ditador	dictator
ditadura	dictatorship
economía	economy
economia	economy
economy	economy
elquesecansapierde	He who tires, loses
escasez	scarcity
escassez	scarcity
especulação	speculation
especulación	speculation
fascist	fascist
fascista	fascist
fascistas	fascists
fascists	fascists
fermín	fermín
fermin	fermin
gobierno	government
golpe	coup
government	government
governo	government
guarimba	barricade
guarimbas	barricades
guayas	guayas
guerra	war
hugo	Hugo
independência	independence
independence	independence
independencia	independence
inflação	inflation
inflación	inflation
inflation	inflation
injure	injure
injured	injured
lesionar	injure
lesionado	injured
intimidação	intimidation
intimidación	intimidation
intimidation	intimidation
jornalista	journalist
jornalistas	journalists
journalist	journalist
journalists	journalists
justiça	justice
justice	justice
justicia	justice
kill	kill
lópez	López
lopez	Lopez
líder	leader
líder	leader
ladrões	robbers
ladrones	robbers
lasalida	The Exit
leader	leader
ledezma	Ledezma
leopoldo	Leopoldo
leopoldoestáenmicasa	Leopoldo is in my house
letal	lethal
lethal	lethal
levantamiento	uprising
lucha	strife
machado	Machado
mídia	media
maduro	Maduro
manifestação	demonstration
manifestações	demonstrations
manifestantes	protestors
manifestantes	protestors
marches	marches
matar	kill
media	media
mejordesnudosque	better naked than
miraflores	Miraflores
morte	death
mortes	deaths
marcha	march
morto	dead
mrt	MRT
muerte	death
muertes	deaths
muerto	dead
munição	ammunition
munición	ammunition
nicolás	Nicolas
nicolas	Nicolas
oposição	opposition
oposición	opposition
oposición	opposition
opposition	opposition
peace	peace
peaceful	peaceful
paz	peace
pacífico	peaceful
periodista	journalist
periodistas	journalists
polícia	police
política	politics
política	politics
político	politician
policía	police
police	police
politic	politic
political	political
politician	politician
politics	politics
prayforvenezuela	pray for venezuela
preço	price
preços	prices
precio	price
precios	prices
president	president
presidente	president
presidente	president
price	price
prices	prices
problema	trouble
propaganda	propaganda
protest	protest
protesta	protest
protestas	protests
protesto	protest
protestors	protestors
protestos	protests
protests	protests
radonski	Radonski
rebelião	rebellion
rebelión	rebellion
rebellion	rebellion
resistencia	resistence
resistenciavzla	Vzla resistence 
revolt	revolt
revolta	uprising
revolution	revolution
rights	rights
robbers	robbers
robbery	robbery
robo	theft
roubo	theft
sacudón	Sacudon
scarcity	scarcity
somosejércitodepaz	We are Army of Peace
sosvenezuela	SOS Venezeula
sosvzla	SOS Vzla
spear	spear
speculation	speculation
strife	strife
tensão	tension
tensión	tension
tension	tension
terror	terror
terrorista	terrorist
terroristas	terrorists
theft	theft
traição	treason
traición	treason
treason	treason
tropa	troop
trouble	trouble
tupamaros	tupamaros
ubch	UBCh
ucv	UCV
união	union
unión	union
union	union
unrest	unrest
uprising	uprising
víctima	victim
víctimas	victims
vaisberg	Vaisberg 
vítima	victim
vítimas	victims
venezolano	venezuelan
venezolanos	venezuelans
venezuelan	venezuelan
venezuelano	venezuelan
venezuelanos	venezuelans
venezuelans	venezuelans
victim	victim
victims	victims
victoria	Victoria
violência	violence
violence	violence
violencia	violence
vitória	Victoria
voluntad	Voluntad
vp	VP
vzlaunidacontraelfascismo	Vz united against fascism
war	war
